EventID	xpos	ypos	zpos	hitE	stepL
24	0.00728377	0.00086092	0.0181	0.000796229	0.00861269
25	0	0	0.0162531	0.00511776	0.026023
25	-0.00519484	-0.00416789	0.0184412	0.00225114	0.0186973
25	-0.004117	-0.00229927	0.0164464	0.00165578	0.0142013
25	-0.00342845	-0.0024192	0.016309	0.00097531	0.00934267
26	0	0	0.0162531	0.00278542	0.026023
26	0.00538852	0.0073354	0.0231144	0.00286342	0.0223518
26	0.00573665	0.0129803	0.0212229	0.00206246	0.0177513
26	0.0053407	0.0117416	0.0232104	0.00148897	0.0133632
26	0.00515043	0.0119118	0.0227198	0.000799735	0.00862773
27	0	0	0.0162531	0.00897602	0.026023
27	-0.000172809	-0.000655452	0.0165988	0.00100699	0.00952917
27	-0.00182997	-0.00132564	0.0186315	1.69895e-05	0.00270681
28	0	0	0.0162531	0.00253283	0.026023
28	0.00270545	0.00150619	0.027712	0.00254871	0.0227103
28	0.00916043	0.00287596	0.0302819	0.00213827	0.0187599
28	0.010056	-7.27398e-05	0.0311041	0.00163399	0.0145481
28	0.0104722	0.000612822	0.0315113	0.00106668	0.0099787
28	0.00770334	-0.00202661	0.0323456	7.95091e-05	0.00391526
29	0	0	0.0162531	0.00416293	0.026023
29	-0.00818876	-0.00155143	0.0192458	0.00223625	0.0202783
29	-0.0101078	-0.00182699	0.0234107	0.00193518	0.0163099
29	-0.00885839	-0.00199684	0.0225568	0.00131293	0.0116634
29	-0.00883913	-0.00202486	0.0223535	0.000352709	0.00632324
30	0	0	0.0162531	0.00371778	0.026023
30	-0.00457423	-0.00841508	0.0147945	0.00241016	0.0209721
30	-0.00899693	-0.00787416	0.0171781	0.00196062	0.0168469
30	-0.00902481	-0.00925406	0.0183613	0.0013789	0.0123674
30	-0.00879944	-0.00901999	0.0184509	0.000532538	0.00736619
31	0	0	0.0162531	0.00322076	0.026023
31	-0.005726	-0.00890356	0.0166547	0.00415882	0.0217191
31	-0.00689301	-0.00696859	0.0185046	0.00162322	0.0141761
31	-0.00660013	-0.00653568	0.0179925	0.000997197	0.0094271
32	0	0	0.0162531	0.00328941	0.026023
32	0.00174437	0.00607308	0.0246016	0.00245287	0.0216176
32	-6.17194e-05	0.00244542	0.0204814	0.00207548	0.017579
32	0.00157282	0.00150296	0.0216234	0.00146286	0.0130893
32	0.00146869	0.00144076	0.0211594	0.000719381	0.00827425
33	0	0	0.0162531	0.00578834	0.026023
33	-0.00248854	0.00404422	0.0193849	0.00200022	0.0174934
33	-0.00204496	0.00429793	0.0215778	0.00186417	0.0131667
33	-0.00194098	0.00416935	0.0216953	0.000347265	0.00628789
34	0	0	0.0162531	0.00316153	0.026023
34	0.00458187	0.00499489	0.0245318	0.0029599	0.0218063
34	0.00364906	0.000480387	0.0224356	0.00199304	0.0168595
34	0.00344456	-0.00128695	0.0226058	0.00138291	0.0122955
34	0.00335367	-0.000988702	0.0226393	0.000502622	0.00720666
35	0	0	0.0162531	0.00330949	0.026023
35	-0.00572301	-0.00766753	0.0204151	0.00254116	0.0215878
35	-0.00339781	-0.00461078	0.0163872	0.00208199	0.0173768
35	-0.0038911	-0.00449876	0.0144253	0.00141873	0.0127853
35	-0.00390146	-0.0040961	0.0142884	0.000648634	0.00794622
36	0	0	0.0162531	0.0030524	0.026023
36	0.010281	-0.00357404	0.0167041	0.0069476	0.021966
37	0	0	0.0162531	0.00294875	0.026023
37	0.00282635	0.00259857	0.0266574	0.00285785	0.0221166
37	9.40677e-05	0.0067951	0.024036	0.00201255	0.0174593
37	-0.000829495	0.00831579	0.0253356	0.00150511	0.0130856
37	-0.000783309	0.00787387	0.0253125	0.00067574	0.00807393
38	0	0	0.0162531	0.0029381	0.026023
38	0.000710975	-0.00645977	0.0252644	0.00265643	0.022132
38	-0.0031162	-0.0109689	0.0266338	0.00440547	0.0178506
39	0	0	0.0162531	0.00601909	0.026023
39	-0.00297799	0.00280273	0.0195218	0.0024185	0.0170571
39	-0.00228106	0.00399284	0.0192976	0.0012463	0.0113523
39	-0.00219526	0.00383141	0.0193132	0.000316121	0.00608004
40	0	0	0.0162531	0.00350656	0.026023
40	0.00955507	0.0017098	0.0135494	0.00243592	0.021293
40	0.0119026	-0.00176181	0.0101683	0.00194794	0.0172033
40	0.0138109	-0.00105044	0.00969177	0.00146856	0.0128968
40	0.0138957	-0.000765785	0.00939508	0.000641025	0.00790989
41	0	0	0.0162531	0.0031811	0.026023
41	0.0100535	-0.00257259	0.0137952	0.00260543	0.0217776
41	0.0136661	0.00147612	0.0155139	0.00382241	0.0174968
41	0.0137629	0.00154624	0.0153197	0.000391057	0.00656483
42	0	0	0.0162531	0.00305566	0.026023
42	-0.00433502	0.00998689	0.0161154	0.0025936	0.0219613
42	-0.00280505	0.00844736	0.0216691	0.00435074	0.0177506
43	0	0	0.0162531	0.00404596	0.026023
43	0.00599917	-0.00611033	0.0192617	0.00290602	0.020463
43	0.00388142	-0.00723987	0.0220069	0.0017664	0.0151486
43	0.00402326	-0.00810421	0.021413	0.00113066	0.0104496
43	0.00116821	-0.011566	0.0198799	0.000150963	0.0047419
44	0	0	0.0162531	0.0035443	0.026023
44	-0.00688049	-0.0018141	0.0232898	0.00258841	0.021236
44	-0.0106147	-0.00342468	0.020304	0.00190633	0.0168376
44	-0.00955504	-0.00187831	0.0202306	0.00140812	0.0125037
44	-0.00962477	-0.00187011	0.0198847	0.000552841	0.00747191
45	0	0	0.0162531	0.00416905	0.026023
45	0.000665311	0.00669898	0.0219885	0.0038311	0.0202686
45	0.000100329	0.00804435	0.0232405	0.00141818	0.0126079
45	0.000179847	0.00808325	0.0236051	0.000581675	0.00761875
46	0	0	0.0162531	0.00362065	0.026023
46	-0.00191907	-0.00888316	0.0200965	0.00248473	0.0211203
46	0.00222209	-0.00748081	0.0227047	0.00389462	0.0168907
47	0	0	0.0162531	0.00386285	0.026023
47	-0.00816447	0.00271545	0.0200856	0.00248958	0.0207487
47	-0.0114742	-0.000568447	0.0197624	0.00215698	0.0164038
47	-0.012066	-0.00127441	0.0206936	0.00122776	0.0111297
47	-0.0121029	-0.00114134	0.0207484	0.000262834	0.0056988
48	0	0	0.0162531	0.0034442	0.026023
48	-0.00802147	0.00354834	0.0214397	0.00253452	0.0213867
48	-0.00990016	0.00591134	0.0258123	0.00191058	0.0171343
48	-0.011842	0.00543536	0.0251922	0.00146731	0.0128998
48	-0.0120248	0.00569862	0.025466	0.000643396	0.00792124
49	0	0	0.0162531	0.00299844	0.026023
49	0.00433551	0.00899667	0.0116519	0.00251618	0.0220446
49	0.00679909	0.0101494	0.00604858	0.0029172	0.0179957
49	0.00661511	0.00957514	0.00478036	0.00125492	0.01137
49	0.00653948	0.0095127	0.00493327	0.000313262	0.00606045
50	0	0	0.0162531	0.00384981	0.026023
50	-0.00767983	-0.0024026	0.0211954	0.00240576	0.0207689
50	-0.00467211	0.0013107	0.021951	0.00196462	0.0165966
50	-0.00353454	0.000248516	0.021371	0.00135038	0.0119965
50	-0.00353353	-6.70893e-06	0.0213529	0.000429432	0.00679492
51	0	0	0.0162531	0.00304866	0.026023
51	0.0070458	-0.00747228	0.0126005	0.00269565	0.0219715
51	0.00866706	-0.00456198	0.00788311	0.00213131	0.0175753
51	0.00658835	-0.00418093	0.00795674	0.00165708	0.012936
51	0.00660999	-0.00442127	0.0081097	0.0004673	0.00701201
52	0	0	0.0162531	0.00315778	0.026023
52	-0.0100208	-0.00359849	0.0151314	0.00256948	0.0218118
52	-0.00507641	-0.00286618	0.0121719	0.00310417	0.0176069
52	-0.00455048	-0.00272298	0.0129197	0.00107863	0.0100584
52	-0.00677332	-0.00149183	0.00975988	8.99335e-05	0.0040548
53	0	0	0.0162531	0.00289925	0.026023
53	-0.00668482	0.00371777	0.00809415	0.00262042	0.0221882
53	-0.0034078	0.00899058	0.00773427	0.00204197	0.0179865
53	-0.00562381	0.00941249	0.00640504	0.00153866	0.0137366
53	-0.00593952	0.00903669	0.00682247	0.000899703	0.00904346
54	0	0	0.0162531	0.00278293	0.026023
54	-0.00116702	-0.0111982	0.0144457	0.00255718	0.0223553
54	0.00513447	-0.0119051	0.0127155	0.00216212	0.0183079
54	0.00246947	-0.0120991	0.0122279	0.00159354	0.0138825
54	0.00197778	-0.0119635	0.0126283	0.000904215	0.00906166
55	0	0	0.0162531	0.00266982	0.026023
55	-0.0088796	0.000679498	0.0237095	0.00261834	0.0225166
55	-0.00989009	0.00601222	0.0275953	0.00247447	0.0183997
55	-0.00831752	0.00444423	0.0270244	0.00151509	0.013234
55	-0.00870338	0.00471568	0.0269242	0.000722267	0.00828727
56	0	0	0.0162531	0.00528444	0.026023
56	-0.000718812	0.00276895	0.0222924	0.00229187	0.0184062
56	0.000835808	0.00476334	0.021713	0.00213312	0.0137003
56	0.000746328	0.00467054	0.0216069	0.000290575	0.00590169
57	0	0	0.0162531	0.00583621	0.026023
57	0.00459241	-0.00318791	0.0164503	0.00217384	0.0174039
57	0.00518767	-0.00460122	0.0175886	0.00140549	0.012582
57	0.00538604	-0.00453984	0.0179036	0.000584457	0.00763272
58	0	0	0.0162531	0.00311278	0.026023
58	0.00743717	-0.00690352	0.0199107	0.00292256	0.0218778
58	0.00711379	-0.00808417	0.024973	0.00319066	0.0170259
58	0.00720632	-0.00829807	0.0244976	0.000774005	0.00851657
59	0	0	0.0162531	0.00782889	0.026023
59	0.00146678	-0.000189113	0.0178655	0.00159725	0.0130598
59	0.00115241	-9.26172e-05	0.0176977	0.000573854	0.00757929
60	0	0	0.0162531	0.00297809	0.026023
60	-0.00249081	0.0101954	0.0196604	0.00253064	0.0220741
60	0.00126383	0.00547475	0.0180609	0.00220146	0.0180063
60	0.00168929	0.00748656	0.0168687	0.00156578	0.013366
60	0.00200831	0.00714965	0.0167313	0.000724028	0.00829521
61	0	0	0.0162531	0.00381564	0.026023
61	0.00941144	0.00111046	0.0170114	0.00237731	0.0208217
61	0.00946444	0.00327869	0.021454	0.00191173	0.0167199
61	0.00998552	0.00377362	0.023103	0.00164449	0.0123227
61	0.0099009	0.00366342	0.0231239	0.000250826	0.00560762
62	0	0	0.0162531	0.00362219	0.026023
62	-0.00591777	0.00785553	0.0154914	0.00243557	0.021118
62	-0.0109301	0.00912313	0.0155707	0.00195458	0.0169827
62	-0.0107991	0.0109307	0.0161646	0.00148124	0.0125761
62	-0.0105097	0.0108056	0.0161929	0.000506421	0.00722718
63	0	0	0.0162531	0.00412617	0.026023
63	-0.000513187	-0.00889767	0.0167257	0.0024027	0.0203365
63	-0.00289049	-0.00636485	0.0140701	0.00193068	0.016046
63	-0.0023763	-0.005273	0.0147196	0.00126009	0.0112848
63	-0.00227849	-0.00519267	0.0146213	0.000280365	0.00582821
64	0	0	0.0162531	0.00359717	0.026023
64	-0.00855644	-0.000661708	0.0112965	0.0024	0.021156
64	-0.00823188	-0.00583011	0.0123122	0.00276044	0.0170991
64	-0.00746807	-0.00575561	0.0116528	0.00111058	0.0103159
64	-0.0116692	-0.00700279	0.0128573	0.000131813	0.00454487
65	0	0	0.0162531	0.00316215	0.026023
65	-0.0085937	-0.00635134	0.0167677	0.00265282	0.0218054
65	-0.00999769	-0.00550234	0.0221594	0.00206551	0.0174437
65	-0.00978049	-0.0034146	0.0219753	0.00146462	0.0129231
65	-0.00959678	-0.00378777	0.0220842	0.000654899	0.00797597
66	0	0	0.0162531	0.00756957	0.026023
66	-0.00169208	-0.000866175	0.0180347	0.00158077	0.013717
66	-0.00154119	-0.000292261	0.017955	0.000849661	0.00883842
67	0	0	0.0162531	0.00294889	0.026023
67	-0.000214754	-0.00753606	0.0243861	0.00247427	0.0221164
67	0.00359997	-0.0126835	0.0242197	0.00455169	0.01816
67	0.000959778	-0.013728	0.0249791	2.51555e-05	0.00293908
68	0	0	0.0162531	0.00316574	0.026023
68	0.00372301	-0.00600798	0.0242757	0.00241868	0.0218001
68	-0.00151719	-0.00774443	0.0268491	0.00211529	0.0178691
68	-0.00381586	-0.00714243	0.0271385	0.00152772	0.0133923
68	-0.00340427	-0.00710162	0.02681	0.000772569	0.00851031
69	0	0	0.0162531	0.00310155	0.026023
69	0.00823257	0.00373664	0.0221728	0.00266785	0.0218943
69	0.00886249	-0.00177553	0.0235877	0.00196223	0.0175287
69	0.0101573	-0.00369397	0.0232267	0.00151763	0.0133121
69	0.0101217	-0.0034529	0.0227807	0.00075074	0.00841445
70	0	0	0.0162531	0.00336958	0.026023
70	0.00365926	-0.00359437	0.0252143	0.00284237	0.0214983
70	0.00775389	-0.000881675	0.0252097	0.00191563	0.0166826
70	0.00773893	-0.00229136	0.0241366	0.00135646	0.0122589
70	0.0080436	-0.00219637	0.0240803	0.000515962	0.00727837
71	0	0	0.0162531	0.00350484	0.026023
71	0.00406897	0.00165307	0.0253254	0.00243038	0.0212956
71	0.00168444	0.0060235	0.027414	0.00194235	0.0172171
71	0.000211421	0.00746549	0.0269561	0.00146815	0.0129308
71	0.000335888	0.00725286	0.0273079	0.000654278	0.00797303
72	0	0	0.0162531	0.00320261	0.026023
72	-0.00799586	-0.00699829	0.0162026	0.00246245	0.0217459
72	-0.0138723	-0.00744048	0.0168767	0.00205159	0.0177216
72	-0.0119527	-0.00818955	0.0180405	0.00153607	0.0133498
72	-0.0120256	-0.00769398	0.0179757	0.000747281	0.00839913
73	0	0	0.0162531	0.00316287	0.026023
73	0.00247431	-0.00355256	0.026035	0.00240326	0.0218044
73	0.00608137	-0.0037095	0.030985	0.00211122	0.0179023
73	0.00800927	-0.00240994	0.031691	0.00150879	0.0134484
73	0.00833524	-0.00256274	0.0312543	0.000813863	0.008688
74	0	0	0.0162531	0.00317149	0.026023
74	0.00321835	-0.0101752	0.0157984	0.00245661	0.0217917
74	0.00323926	-0.014371	0.0200936	0.0024763	0.0177893
74	0.00238943	-0.0156299	0.021058	0.00140075	0.0123235
74	0.00246752	-0.0155263	0.0207793	0.00049485	0.00716444
75	0	0	0.0162531	0.00265979	0.026023
75	-0.00758034	-0.00881479	0.0158283	0.00244025	0.0225308
75	-0.000896311	-0.0108566	0.01494	0.00224759	0.018728
75	-0.00131363	-0.0137593	0.0144458	0.0016633	0.0142514
75	-0.00189716	-0.0133515	0.0145804	0.000989064	0.00939584
76	0	0	0.0162531	0.00327697	0.026023
76	-0.00225922	-0.010072	0.0181353	0.00480286	0.021636
76	-0.00243074	-0.0118632	0.0184585	0.00139174	0.0123916
76	-0.00222885	-0.0119514	0.0187093	0.000528429	0.00734456
77	0	0	0.0162531	0.00349645	0.026023
77	0.00989732	-0.000680581	0.0143863	0.00264179	0.0213082
77	0.0130558	-0.00370528	0.0118893	0.00276958	0.0168269
77	0.0132244	-0.00321369	0.0112324	0.00103622	0.00978319
77	0.0166119	-0.00391065	0.0103884	5.59675e-05	0.00355997
78	0	0	0.0162531	0.00450492	0.026023
78	0.00242496	-0.00586815	0.0214462	0.0022775	0.0197276
78	0.00565767	-0.00372032	0.0221098	0.0030597	0.0155154
78	0.0083452	-0.005237	0.0184203	0.000157885	0.00480994
79	0	0	0.0162531	0.0035982	0.026023
79	0.000271282	0.000254892	0.00635148	0.00267267	0.0211544
79	-0.00167722	0.00225629	0.0024331	0.00207697	0.0165663
79	-0.00157486	0.0014147	0.00118786	0.00129598	0.0116234
79	-0.0013777	0.00142685	0.0012536	0.000356176	0.00634561
80	0	0	0.0162531	0.0032562	0.026023
80	0.00976808	0.00237245	0.019389	0.0026829	0.0216668
80	0.0124694	-0.00185104	0.0213718	0.00206739	0.0172097
80	0.011514	-0.00157787	0.0230076	0.00199351	0.0125914
81	0	0	0.0162531	0.00343386	0.026023
81	-0.0013902	0.00343788	0.0257645	0.002508	0.0214022
81	-0.00122379	0.00464285	0.0205177	0.00197211	0.0172045
81	-0.00249905	0.00613162	0.0211344	0.00146519	0.0128346
81	-0.00213799	0.00596904	0.0210501	0.000620845	0.00781248
82	0	0	0.0162531	0.00465075	0.026023
82	-0.00247089	0.00704616	0.0136087	0.00220722	0.0194878
82	-0.00289932	0.00368334	0.0118746	0.00314203	0.0153532
83	0	0	0.0162531	0.00360185	0.026023
83	-0.00360333	0.00715976	0.022067	0.00313347	0.0211489
83	-2.17382e-05	0.00898148	0.022101	0.00186243	0.0156155
83	-0.00119164	0.00909549	0.0218457	0.0011792	0.0108485
83	-0.00111134	0.0091518	0.021918	0.000223045	0.00538782
84	0	0	0.0162531	0.00445519	0.026023
84	-0.00046327	-0.00738852	0.012504	0.00226504	0.0198087
84	0.00170269	-0.00460136	0.01053	0.00183449	0.0156474
84	0.000784166	-0.00417623	0.0097881	0.0012132	0.0109866
84	0.000738484	-0.00409014	0.0098709	0.000232073	0.0054607
85	0	0	0.0162531	0.00296178	0.026023
85	0.00528322	0.00878429	0.0120857	0.00248743	0.0220978
85	0.00179464	0.00360847	0.0132943	0.00208221	0.0181134
85	0.0033939	0.00254539	0.0151465	0.00159082	0.0138111
85	0.00284212	0.0027911	0.0149883	0.000877758	0.00895426
86	0	0	0.0162531	0.00303677	0.026023
86	0.00247486	-0.0022124	0.0266594	0.00246723	0.0219888
86	-0.000231971	0.00149643	0.0308989	0.00207089	0.0180148
86	0.00224834	0.000734759	0.0307987	0.00158819	0.0137038
86	0.00181211	0.00103591	0.0310511	0.00083691	0.00878522
87	0	0	0.0162531	0.00270767	0.026023
87	-0.00721718	0.00892818	0.0150415	0.00273458	0.0224628
87	-0.00664823	0.0112831	0.00914867	0.00219772	0.0181259
87	-0.00905691	0.0107385	0.00882672	0.00154297	0.013542
87	-0.0091368	0.0102596	0.00853009	0.000817061	0.00870158
88	0	0	0.0162531	0.00300424	0.026023
88	-0.0054969	-0.0074979	0.0221038	0.0026866	0.0220361
88	-0.00148668	-0.00471856	0.0253864	0.00193389	0.0176741
88	-0.000101301	-0.00368905	0.0272158	0.00155562	0.01358
88	-0.000417881	-0.00416452	0.0272069	0.00081965	0.00871254
89	0	0	0.0162531	0.00362825	0.026023
89	-0.00188889	-0.00813405	0.0214837	0.00246918	0.0211088
89	-0.00401755	-0.0124306	0.0197336	0.00200632	0.0169061
89	-0.00332109	-0.0107922	0.0194678	0.00137771	0.0123253
89	-0.0031584	-0.0106103	0.019684	0.000518542	0.00729214
90	0	0	0.0162531	0.00286056	0.026023
90	-0.00714732	-0.005647	0.022867	0.0026268	0.0222439
90	-0.0124862	-0.00355301	0.0254322	0.00203979	0.0180448
90	-0.0106763	-0.00259626	0.0271541	0.00158352	0.0138216
90	-0.0102493	-0.00302709	0.0273418	0.000889332	0.00900144
91	0	0	0.0162531	0.00271318	0.026023
91	-0.00273712	-0.00665677	0.0252656	0.00345853	0.0224549
91	-0.00749807	-0.0079861	0.0258675	0.00302115	0.0167615
91	-0.00705626	-0.00780602	0.0255746	0.000807149	0.00865943
92	0	0	0.0162531	0.00325395	0.026023
92	-0.00396342	0.000630131	0.0259926	0.00466626	0.0216701
92	-0.00549875	-0.000443163	0.0251715	0.00154598	0.0128181
92	-0.00516409	-0.000473318	0.0251343	0.000533814	0.0073729
93	0	0	0.0162531	0.0029196	0.026023
93	-0.00826253	-0.00675681	0.0130447	0.00239336	0.0221588
93	-0.00892684	-0.00959076	0.00709182	0.00222561	0.0183559
93	-0.00772768	-0.00834516	0.00910826	0.001644	0.0137935
93	-0.00811594	-0.00865639	0.00883177	0.000817424	0.00870311
94	0	0	0.0162531	0.00284953	0.026023
94	-0.000669638	0.00612278	0.0257003	0.00275202	0.0222598
94	-0.00377791	0.00706435	0.0308128	0.00208234	0.0178378
94	-0.0043617	0.00777743	0.0330497	0.00155419	0.013432
94	-0.00409988	0.00747825	0.0327169	0.00076192	0.00846371
95	0	0	0.0162531	0.00279186	0.026023
95	0.00692709	0.00637666	0.0226563	0.00242998	0.0223425
95	0.0117362	0.00480814	0.0181031	0.00234299	0.0185162
95	0.0133938	0.00681363	0.0178613	0.00157588	0.0137287
95	0.0128446	0.00679644	0.0181203	0.000859293	0.00887835
96	0	0	0.0162531	0.00362727	0.026023
96	-0.00361213	0.00433475	0.0243332	0.00637273	0.0211103
97	0	0	0.0162531	0.00310727	0.026023
97	-0.000225501	-0.00943577	0.0214948	0.00262942	0.0218859
97	-0.00220797	-0.00633944	0.0259679	0.00201143	0.0175894
97	-0.000812737	-0.00570658	0.0277049	0.00151394	0.0132706
97	-0.000545691	-0.00597367	0.0273825	0.000737934	0.00835756
98	0	0	0.0162531	0.00562168	0.026023
98	0.000770202	-0.00550107	0.0185664	0.00196881	0.0178011
98	0.00164195	-0.00376588	0.0202514	0.00156714	0.0136652
98	0.00138701	-0.00324802	0.0203833	0.000842366	0.00880803
99	0	0	0.0162531	0.00287211	0.026023
99	0.00740726	-0.00442308	0.02345	0.00245061	0.0222273
99	0.00452474	-5.56925e-05	0.0274838	0.00466458	0.0183387
